date,decaf,sales
2012-10-01,Decaf,245
2012-10-02,Decaf,107
2012-10-05,Decaf,43
2012-10-06,Decaf,111
2012-10-07,Decaf,66
2012-10-08,Decaf,68
2012-10-09,Decaf,99
2012-10-16,Decaf,109
2012-10-17,Decaf,118
2012-10-18,Decaf,120
2012-10-19,Decaf,119
2012-10-23,Decaf,92
2012-10-24,Decaf,123
2012-10-27,Decaf,164
2012-10-28,Decaf,114
2012-11-02,Decaf,81
2012-11-03,Decaf,78
2012-11-04,Decaf,88
2012-11-05,Decaf,120
2012-11-12,Decaf,121
2012-11-13,Decaf,113
2012-11-14,Decaf,109
2012-11-15,Decaf,115
2012-11-18,Decaf,99
2012-11-19,Decaf,133
2012-11-20,Decaf,112
2012-11-21,Decaf,127
2012-11-22,Decaf,145
2012-11-23,Decaf,176
2012-11-24,Decaf,127
2012-11-25,Decaf,101
2012-11-27,Decaf,77
2012-11-28,Decaf,85
2012-11-29,Decaf,82
2012-12-04,Decaf,118
2012-12-05,Decaf,107
2012-12-06,Decaf,160
2012-12-07,Decaf,153
2012-12-08,Decaf,139
2012-12-09,Decaf,160
2012-12-11,Decaf,130
2012-12-12,Decaf,131
2012-12-13,Decaf,114
2012-12-16,Decaf,46
2012-12-17,Decaf,118
2012-12-18,Decaf,70
2012-12-19,Decaf,72
2012-12-20,Decaf,106
2012-12-27,Decaf,116
2012-12-28,Decaf,126
2012-12-29,Decaf,128
2012-12-30,Decaf,127
2013-01-03,Decaf,98
2013-01-04,Decaf,131
2013-01-07,Decaf,175
2013-01-08,Decaf,121
2013-01-13,Decaf,86
2013-01-14,Decaf,83
2013-01-15,Decaf,94
2013-01-16,Decaf,128
2013-01-23,Decaf,129
2013-01-24,Decaf,120
2013-01-25,Decaf,116
2013-01-26,Decaf,123
2013-01-29,Decaf,106
2013-01-30,Decaf,142
2013-01-31,Decaf,119
2013-02-01,Decaf,135
2013-02-02,Decaf,155
2013-02-03,Decaf,188
2013-02-04,Decaf,135
2013-02-05,Decaf,108
2013-02-07,Decaf,82
2013-02-08,Decaf,91
2013-02-09,Decaf,87
2013-02-14,Decaf,126
2013-02-15,Decaf,114
2013-02-16,Decaf,171
2013-02-17,Decaf,163
2013-02-18,Decaf,148
2013-02-19,Decaf,171
2013-02-22,Decaf,174
2013-02-27,Decaf,51
2013-03-01,Decaf,177
2013-03-02,Decaf,142
2013-03-06,Decaf,92
2013-03-07,Decaf,88
2013-03-08,Decaf,124
2013-03-09,Decaf,92
2013-03-14,Decaf,43
2013-03-15,Decaf,122
2013-03-19,Decaf,106
2013-03-20,Decaf,78
2013-03-21,Decaf,150
2013-03-27,Decaf,99
2013-03-28,Decaf,99
2013-04-02,Decaf,43
2013-04-03,Decaf,106
2013-04-04,Decaf,69
2013-04-13,Decaf,185
2013-04-18,Decaf,54
2013-04-20,Decaf,189
2013-04-21,Decaf,151
2013-04-25,Decaf,98
2013-04-26,Decaf,94
2013-04-27,Decaf,132
2013-04-28,Decaf,98
2013-05-03,Decaf,46
2013-05-04,Decaf,130
2013-05-08,Decaf,113
2013-05-09,Decaf,83
2013-05-10,Decaf,160
2013-05-16,Decaf,106
2013-05-17,Decaf,106
2013-05-22,Decaf,46
2013-05-23,Decaf,113
2013-05-24,Decaf,74
2013-06-01,Decaf,90
2013-06-02,Decaf,90
2013-06-03,Decaf,109
2013-06-04,Decaf,113
2013-06-08,Decaf,68
2013-06-14,Decaf,80
2013-06-15,Decaf,121
2013-06-16,Decaf,52
2013-06-17,Decaf,82
2013-06-18,Decaf,64
2013-06-24,Decaf,122
2013-06-25,Decaf,122
2013-07-01,Decaf,73
2013-07-02,Decaf,82
2013-07-03,Decaf,103
2013-07-06,Decaf,56
2013-07-09,Decaf,85
2013-07-10,Decaf,88
2013-07-11,Decaf,69
2013-07-18,Decaf,96
2013-07-19,Decaf,96
2013-07-20,Decaf,116
2013-07-21,Decaf,120
2013-07-25,Decaf,72
2013-07-31,Decaf,85
2013-08-01,Decaf,129
2013-08-02,Decaf,55
2013-08-03,Decaf,87
2013-08-04,Decaf,68
2013-08-10,Decaf,130
2013-08-11,Decaf,130
2013-08-17,Decaf,78
2013-08-18,Decaf,87
2013-08-19,Decaf,110
2013-08-22,Decaf,60
2013-08-25,Decaf,91
2013-08-26,Decaf,94
2013-08-27,Decaf,74
2013-09-03,Decaf,122
2013-09-12,Decaf,126
2013-09-13,Decaf,114
2013-09-14,Decaf,125
2013-09-16,Decaf,125
2013-09-17,Decaf,138
2013-09-18,Decaf,138
2013-09-20,Decaf,124
2013-09-21,Decaf,132
2013-09-25,Decaf,184
2013-09-28,Decaf,112
2013-10-02,Decaf,139
2013-10-03,Decaf,114
2013-10-04,Decaf,123
2013-10-10,Decaf,145
2013-10-11,Decaf,127
2013-10-12,Decaf,122
2013-10-13,Decaf,120
2013-10-15,Decaf,130
2013-10-24,Decaf,134
2013-10-25,Decaf,121
2013-10-26,Decaf,133
2013-10-28,Decaf,133
2013-10-29,Decaf,147
2013-10-30,Decaf,147
2013-11-01,Decaf,132
2013-11-02,Decaf,141
2013-11-06,Decaf,196
2013-11-09,Decaf,119
2013-11-13,Decaf,148
2013-11-14,Decaf,121
2013-11-15,Decaf,131
2013-11-21,Decaf,155
2013-11-22,Decaf,135
2013-11-23,Decaf,130
2013-11-24,Decaf,128
2013-11-26,Decaf,53
2013-11-27,Decaf,66
2013-11-28,Decaf,126
2013-11-29,Decaf,120
2013-12-01,Decaf,92
2013-12-02,Decaf,58
2013-12-07,Decaf,77
2013-12-08,Decaf,52
2013-12-09,Decaf,61
2013-12-14,Decaf,56
2013-12-17,Decaf,74
2013-12-18,Decaf,64
2013-12-19,Decaf,63
2013-12-24,Decaf,56
2013-12-25,Decaf,89
2013-12-26,Decaf,58
2014-01-01,Decaf,60
2014-01-04,Decaf,56
2014-01-05,Decaf,70
2014-01-06,Decaf,134
2014-01-07,Decaf,128
2014-01-09,Decaf,98
2014-01-10,Decaf,62
2014-01-15,Decaf,82
2014-01-16,Decaf,55
2014-01-17,Decaf,65
2014-01-22,Decaf,60
2014-01-25,Decaf,79
2014-01-26,Decaf,68
2014-01-27,Decaf,67
2014-02-01,Decaf,60
2014-02-02,Decaf,95
2014-02-03,Decaf,62
2014-02-09,Decaf,64
2014-02-12,Decaf,187
2014-02-13,Decaf,123
2014-02-16,Decaf,142
2014-02-17,Decaf,79
2014-02-18,Decaf,205
2014-02-21,Decaf,159
2014-02-22,Decaf,124
2014-02-25,Decaf,150
2014-02-26,Decaf,114
2014-02-27,Decaf,164
2014-03-05,Decaf,141
2014-03-07,Decaf,103
2014-03-11,Decaf,101
2014-03-16,Decaf,153
2014-03-17,Decaf,199
2014-03-18,Decaf,131
2014-03-21,Decaf,151
2014-03-22,Decaf,84
2014-03-23,Decaf,218
2014-03-26,Decaf,169
2014-03-27,Decaf,132
2014-03-30,Decaf,160
2014-03-31,Decaf,121
2014-04-01,Decaf,175
2014-04-07,Decaf,150
2014-04-09,Decaf,110
2014-04-13,Decaf,108
2014-04-18,Decaf,163
2014-04-19,Decaf,90
2014-04-22,Decaf,118
2014-04-27,Decaf,236
2014-04-28,Decaf,177
2014-04-29,Decaf,230
2014-05-03,Decaf,197
2014-05-06,Decaf,231
2014-05-07,Decaf,39
2014-05-08,Decaf,184
2014-05-09,Decaf,224
2014-05-12,Decaf,160
2014-05-13,Decaf,221
2014-05-19,Decaf,214
2014-05-20,Decaf,41
2014-05-21,Decaf,250
2014-05-22,Decaf,96
2014-05-25,Decaf,126
2014-05-30,Decaf,251
2014-05-31,Decaf,189
2014-06-01,Decaf,245
2014-06-05,Decaf,210
2014-06-08,Decaf,246
2014-06-09,Decaf,42
2014-06-10,Decaf,196
2014-06-11,Decaf,239
2014-06-14,Decaf,171
2014-06-15,Decaf,236
2014-06-21,Decaf,228
2014-06-22,Decaf,44
2014-06-23,Decaf,266
2014-07-02,Decaf,218
2014-07-03,Decaf,202
2014-07-11,Decaf,51
2014-07-12,Decaf,513
2014-07-13,Decaf,164
2014-07-17,Decaf,245
2014-07-18,Decaf,180
2014-07-26,Decaf,52
2014-07-27,Decaf,576
2014-07-28,Decaf,160
2014-07-31,Decaf,320
2014-08-01,Decaf,195
2014-08-09,Decaf,747
2014-08-10,Decaf,148
2014-08-13,Decaf,232
2014-08-14,Decaf,215
2014-08-22,Decaf,54
2014-08-23,Decaf,547
2014-08-24,Decaf,175
2014-08-28,Decaf,261
2014-08-29,Decaf,192
2014-09-06,Decaf,55
2014-09-07,Decaf,614
2014-09-08,Decaf,171
2014-09-11,Decaf,341
2014-09-12,Decaf,208
2014-09-20,Decaf,796
2014-09-21,Decaf,158
2014-09-24,Decaf,265
2014-09-25,Decaf,298
2014-09-26,Decaf,182
2014-09-27,Decaf,478
2014-09-28,Decaf,120
2014-10-04,Decaf,322
2014-10-05,Decaf,302
2014-10-06,Decaf,265
2014-10-10,Decaf,23
2014-10-11,Decaf,202
2014-10-16,Decaf,598
2014-10-17,Decaf,298
2014-10-18,Decaf,109
2014-10-22,Decaf,198
2014-10-23,Decaf,278
2014-10-24,Decaf,189
2014-10-25,Decaf,423
2014-10-31,Decaf,363
2014-11-01,Decaf,290
2014-11-02,Decaf,198
2014-11-07,Decaf,23
2014-11-08,Decaf,180
2014-11-14,Decaf,532
2014-11-15,Decaf,278
2014-11-18,Decaf,210
2014-11-19,Decaf,312
2014-11-20,Decaf,168
2014-11-21,Decaf,501
2014-11-27,Decaf,306
2014-11-28,Decaf,302
2014-11-29,Decaf,210
2014-12-03,Decaf,24
2014-12-04,Decaf,195
2014-12-09,Decaf,576
2014-12-10,Decaf,312
2014-12-14,Decaf,282
2014-12-15,Decaf,318
2014-12-16,Decaf,194
2014-12-17,Decaf,509
2014-12-18,Decaf,128
2014-12-24,Decaf,343
2014-12-25,Decaf,322
2014-12-26,Decaf,282
2014-12-30,Decaf,25
2014-12-31,Decaf,215
2015-01-05,Decaf,637
2015-01-06,Decaf,318
2015-01-07,Decaf,116
2015-01-11,Decaf,211
2015-01-12,Decaf,296
2015-01-13,Decaf,201
2015-01-14,Decaf,451
2015-01-20,Decaf,387
2015-01-21,Decaf,309
2015-01-22,Decaf,211
2015-01-27,Decaf,25
2015-01-28,Decaf,192
2015-02-03,Decaf,567
2015-02-04,Decaf,296
2015-02-07,Decaf,224
2015-02-08,Decaf,332
2015-02-09,Decaf,179
2015-02-10,Decaf,534
2015-02-16,Decaf,326
2015-02-17,Decaf,322
2015-02-18,Decaf,224
2015-02-22,Decaf,26
2015-02-23,Decaf,208
2015-02-28,Decaf,614
2015-03-01,Decaf,332
2015-03-05,Decaf,130
2015-03-06,Decaf,598
2015-03-11,Decaf,265
2015-03-12,Decaf,520
2015-03-14,Decaf,107
2015-03-15,Decaf,177
2015-03-16,Decaf,230
2015-03-17,Decaf,322
2015-03-18,Decaf,174
2015-03-27,Decaf,298
2015-03-28,Decaf,313
2015-03-29,Decaf,367
2015-03-30,Decaf,205
2015-03-31,Decaf,298
2015-04-01,Decaf,109
2015-04-07,Decaf,146
2015-04-08,Decaf,532
2015-04-13,Decaf,198
2015-04-14,Decaf,490
2015-04-16,Decaf,184
2015-04-17,Decaf,224
2015-04-18,Decaf,363
2015-04-24,Decaf,289
2015-04-25,Decaf,325
2015-04-26,Decaf,412
2015-04-27,Decaf,200
2015-04-28,Decaf,278
2015-05-04,Decaf,192
2015-05-05,Decaf,576
2015-05-10,Decaf,210
2015-05-11,Decaf,525
2015-05-13,Decaf,153
2015-05-14,Decaf,250
2015-05-15,Decaf,306
2015-05-16,Decaf,176
2015-05-21,Decaf,322
2015-05-22,Decaf,289
2015-05-23,Decaf,534
2015-05-24,Decaf,185
2015-05-25,Decaf,312
2015-06-01,Decaf,139
2015-06-02,Decaf,637
2015-06-07,Decaf,282
2015-06-08,Decaf,554
2015-06-10,Decaf,114
2015-06-11,Decaf,189
2015-06-12,Decaf,245
2015-06-13,Decaf,343
2015-06-14,Decaf,185
2015-06-23,Decaf,318
2015-06-24,Decaf,334
2015-06-25,Decaf,391
2015-06-26,Decaf,218
2015-06-27,Decaf,318
2015-06-28,Decaf,116
2015-07-04,Decaf,156
2015-07-05,Decaf,567
2015-07-10,Decaf,211
2015-07-11,Decaf,522
2015-07-13,Decaf,196
2015-07-14,Decaf,239
2015-07-15,Decaf,387
2015-07-21,Decaf,308
2015-07-22,Decaf,346
2015-07-23,Decaf,439
2015-07-24,Decaf,213
2015-07-25,Decaf,296
2015-07-31,Decaf,205
2015-08-01,Decaf,614
2015-08-06,Decaf,224
2015-08-07,Decaf,559
2015-08-09,Decaf,163
2015-08-10,Decaf,266
2015-08-11,Decaf,326
2015-08-12,Decaf,188
2015-08-17,Decaf,343
2015-08-18,Decaf,308
2015-08-19,Decaf,569
2015-08-20,Decaf,197
2015-08-21,Decaf,332
