date,regular,sales
2012-10-03,Regular,94
2012-10-04,Regular,182
2012-10-10,Regular,120
2012-10-11,Regular,114
2012-10-12,Regular,109
2012-10-13,Regular,144
2012-10-14,Regular,77
2012-10-15,Regular,120
2012-10-20,Regular,99
2012-10-21,Regular,205
2012-10-22,Regular,218
2012-10-25,Regular,92
2012-10-26,Regular,120
2012-10-29,Regular,124
2012-10-30,Regular,123
2012-10-31,Regular,125
2012-11-01,Regular,88
2012-11-06,Regular,121
2012-11-07,Regular,113
2012-11-08,Regular,109
2012-11-09,Regular,106
2012-11-10,Regular,141
2012-11-11,Regular,121
2012-11-16,Regular,90
2012-11-17,Regular,147
2012-11-26,Regular,133
2012-11-30,Regular,122
2012-12-01,Regular,131
2012-12-02,Regular,118
2012-12-03,Regular,88
2012-12-10,Regular,131
2012-12-14,Regular,100
2012-12-15,Regular,194
2012-12-21,Regular,128
2012-12-22,Regular,121
2012-12-23,Regular,116
2012-12-24,Regular,153
2012-12-25,Regular,82
2012-12-26,Regular,128
2012-12-31,Regular,106
2013-01-01,Regular,218
2013-01-02,Regular,232
2013-01-05,Regular,98
2013-01-06,Regular,128
2013-01-09,Regular,132
2013-01-10,Regular,131
2013-01-11,Regular,133
2013-01-12,Regular,94
2013-01-17,Regular,129
2013-01-18,Regular,120
2013-01-19,Regular,116
2013-01-20,Regular,113
2013-01-21,Regular,150
2013-01-22,Regular,129
2013-01-27,Regular,96
2013-01-28,Regular,157
2013-02-06,Regular,142
2013-02-10,Regular,130
2013-02-11,Regular,140
2013-02-12,Regular,126
2013-02-13,Regular,94
2013-02-20,Regular,140
2013-02-21,Regular,90
2013-02-23,Regular,120
2013-02-24,Regular,118
2013-02-25,Regular,66
2013-02-26,Regular,187
2013-02-28,Regular,58
2013-03-03,Regular,113
2013-03-04,Regular,144
2013-03-05,Regular,159
2013-03-10,Regular,70
2013-03-11,Regular,78
2013-03-12,Regular,80
2013-03-13,Regular,123
2013-03-16,Regular,56
2013-03-17,Regular,106
2013-03-18,Regular,74
2013-03-22,Regular,120
2013-03-23,Regular,120
2013-03-24,Regular,99
2013-03-25,Regular,101
2013-03-26,Regular,99
2013-03-29,Regular,103
2013-03-30,Regular,116
2013-03-31,Regular,82
2013-04-01,Regular,85
2013-04-05,Regular,58
2013-04-06,Regular,107
2013-04-07,Regular,103
2013-04-08,Regular,106
2013-04-09,Regular,82
2013-04-10,Regular,118
2013-04-11,Regular,131
2013-04-12,Regular,96
2013-04-14,Regular,128
2013-04-15,Regular,126
2013-04-16,Regular,70
2013-04-17,Regular,199
2013-04-19,Regular,62
2013-04-22,Regular,120
2013-04-23,Regular,153
2013-04-24,Regular,169
2013-04-29,Regular,75
2013-04-30,Regular,83
2013-05-01,Regular,85
2013-05-02,Regular,131
2013-05-05,Regular,60
2013-05-06,Regular,113
2013-05-07,Regular,79
2013-05-11,Regular,128
2013-05-12,Regular,128
2013-05-13,Regular,106
2013-05-14,Regular,108
2013-05-15,Regular,106
2013-05-18,Regular,110
2013-05-19,Regular,124
2013-05-20,Regular,87
2013-05-21,Regular,91
2013-05-25,Regular,62
2013-05-26,Regular,114
2013-05-27,Regular,110
2013-05-28,Regular,113
2013-05-29,Regular,87
2013-05-30,Regular,126
2013-05-31,Regular,140
2013-06-05,Regular,68
2013-06-06,Regular,109
2013-06-07,Regular,79
2013-06-09,Regular,92
2013-06-10,Regular,60
2013-06-11,Regular,43
2013-06-12,Regular,109
2013-06-13,Regular,144
2013-06-19,Regular,64
2013-06-20,Regular,76
2013-06-21,Regular,80
2013-06-22,Regular,43
2013-06-23,Regular,81
2013-06-26,Regular,82
2013-06-27,Regular,76
2013-06-28,Regular,74
2013-06-29,Regular,43
2013-06-30,Regular,106
2013-07-04,Regular,75
2013-07-05,Regular,73
2013-07-07,Regular,43
2013-07-08,Regular,77
2013-07-12,Regular,89
2013-07-13,Regular,88
2013-07-14,Regular,43
2013-07-15,Regular,107
2013-07-16,Regular,89
2013-07-17,Regular,106
2013-07-22,Regular,72
2013-07-23,Regular,116
2013-07-24,Regular,84
2013-07-26,Regular,98
2013-07-27,Regular,64
2013-07-28,Regular,46
2013-07-29,Regular,116
2013-07-30,Regular,153
2013-08-05,Regular,68
2013-08-06,Regular,81
2013-08-07,Regular,85
2013-08-08,Regular,46
2013-08-09,Regular,86
2013-08-12,Regular,87
2013-08-13,Regular,81
2013-08-14,Regular,79
2013-08-15,Regular,46
2013-08-16,Regular,113
2013-08-20,Regular,80
2013-08-21,Regular,78
2013-08-23,Regular,46
2013-08-24,Regular,82
2013-08-28,Regular,95
2013-08-29,Regular,94
2013-08-30,Regular,46
2013-08-31,Regular,114
2013-09-01,Regular,95
2013-09-02,Regular,113
2013-09-04,Regular,123
2013-09-05,Regular,107
2013-09-06,Regular,116
2013-09-07,Regular,182
2013-09-08,Regular,118
2013-09-09,Regular,159
2013-09-10,Regular,123
2013-09-11,Regular,126
2013-09-15,Regular,114
2013-09-19,Regular,123
2013-09-22,Regular,109
2013-09-23,Regular,147
2013-09-24,Regular,124
2013-09-26,Regular,147
2013-09-27,Regular,141
2013-09-29,Regular,127
2013-09-30,Regular,168
2013-10-01,Regular,133
2013-10-05,Regular,127
2013-10-06,Regular,131
2013-10-07,Regular,118
2013-10-08,Regular,98
2013-10-09,Regular,127
2013-10-14,Regular,123
2013-10-16,Regular,131
2013-10-17,Regular,114
2013-10-18,Regular,124
2013-10-19,Regular,194
2013-10-20,Regular,126
2013-10-21,Regular,169
2013-10-22,Regular,131
2013-10-23,Regular,134
2013-10-27,Regular,121
2013-10-31,Regular,131
2013-11-03,Regular,116
2013-11-04,Regular,157
2013-11-05,Regular,132
2013-11-07,Regular,157
2013-11-08,Regular,150
2013-11-10,Regular,135
2013-11-11,Regular,179
2013-11-12,Regular,142
2013-11-16,Regular,135
2013-11-17,Regular,140
2013-11-18,Regular,126
2013-11-19,Regular,104
2013-11-20,Regular,135
2013-11-25,Regular,131
2013-11-30,Regular,53
2013-12-03,Regular,52
2013-12-04,Regular,56
2013-12-05,Regular,53
2013-12-06,Regular,43
2013-12-10,Regular,77
2013-12-11,Regular,52
2013-12-12,Regular,92
2013-12-13,Regular,113
2013-12-15,Regular,76
2013-12-16,Regular,52
2013-12-20,Regular,39
2013-12-21,Regular,80
2013-12-22,Regular,82
2013-12-23,Regular,76
2013-12-27,Regular,41
2013-12-28,Regular,69
2013-12-29,Regular,45
2013-12-30,Regular,73
2013-12-31,Regular,56
2014-01-02,Regular,41
2014-01-03,Regular,73
2014-01-08,Regular,56
2014-01-11,Regular,55
2014-01-12,Regular,60
2014-01-13,Regular,56
2014-01-14,Regular,46
2014-01-18,Regular,82
2014-01-19,Regular,55
2014-01-20,Regular,98
2014-01-21,Regular,120
2014-01-23,Regular,81
2014-01-24,Regular,55
2014-01-28,Regular,42
2014-01-29,Regular,85
2014-01-30,Regular,87
2014-01-31,Regular,81
2014-02-04,Regular,44
2014-02-05,Regular,74
2014-02-06,Regular,48
2014-02-07,Regular,78
2014-02-08,Regular,60
2014-02-10,Regular,44
2014-02-11,Regular,78
2014-02-14,Regular,187
2014-02-15,Regular,182
2014-02-19,Regular,126
2014-02-20,Regular,218
2014-02-23,Regular,138
2014-02-24,Regular,189
2014-02-28,Regular,147
2014-03-01,Regular,115
2014-03-02,Regular,125
2014-03-03,Regular,124
2014-03-04,Regular,138
2014-03-06,Regular,132
2014-03-08,Regular,168
2014-03-09,Regular,133
2014-03-10,Regular,168
2014-03-12,Regular,145
2014-03-13,Regular,112
2014-03-14,Regular,114
2014-03-15,Regular,145
2014-03-19,Regular,199
2014-03-20,Regular,194
2014-03-24,Regular,134
2014-03-25,Regular,232
2014-03-28,Regular,147
2014-03-29,Regular,201
2014-04-02,Regular,157
2014-04-03,Regular,123
2014-04-04,Regular,133
2014-04-05,Regular,132
2014-04-06,Regular,147
2014-04-08,Regular,141
2014-04-10,Regular,179
2014-04-11,Regular,142
2014-04-12,Regular,179
2014-04-14,Regular,155
2014-04-15,Regular,119
2014-04-16,Regular,121
2014-04-17,Regular,155
2014-04-20,Regular,520
2014-04-21,Regular,302
2014-04-23,Regular,119
2014-04-24,Regular,114
2014-04-25,Regular,205
2014-04-26,Regular,56
2014-04-30,Regular,490
2014-05-01,Regular,189
2014-05-02,Regular,290
2014-05-04,Regular,200
2014-05-05,Regular,245
2014-05-10,Regular,525
2014-05-11,Regular,302
2014-05-14,Regular,120
2014-05-15,Regular,122
2014-05-16,Regular,185
2014-05-17,Regular,45
2014-05-18,Regular,320
2014-05-23,Regular,554
2014-05-24,Regular,322
2014-05-26,Regular,127
2014-05-27,Regular,121
2014-05-28,Regular,218
2014-05-29,Regular,60
2014-06-02,Regular,522
2014-06-03,Regular,201
2014-06-04,Regular,309
2014-06-06,Regular,213
2014-06-07,Regular,261
2014-06-12,Regular,559
2014-06-13,Regular,322
2014-06-16,Regular,128
2014-06-17,Regular,130
2014-06-18,Regular,197
2014-06-19,Regular,48
2014-06-20,Regular,341
2014-06-24,Regular,313
2014-06-25,Regular,144
2014-06-26,Regular,325
2014-06-27,Regular,289
2014-06-28,Regular,334
2014-06-29,Regular,153
2014-06-30,Regular,346
2014-07-01,Regular,308
2014-07-04,Regular,205
2014-07-05,Regular,474
2014-07-06,Regular,650
2014-07-07,Regular,230
2014-07-08,Regular,69
2014-07-09,Regular,322
2014-07-10,Regular,765
2014-07-14,Regular,265
2014-07-15,Regular,302
2014-07-16,Regular,187
2014-07-19,Regular,197
2014-07-20,Regular,454
2014-07-21,Regular,623
2014-07-22,Regular,224
2014-07-23,Regular,61
2014-07-24,Regular,363
2014-07-25,Regular,675
2014-07-29,Regular,198
2014-07-30,Regular,290
2014-08-02,Regular,221
2014-08-03,Regular,510
2014-08-04,Regular,699
2014-08-05,Regular,250
2014-08-06,Regular,66
2014-08-07,Regular,306
2014-08-08,Regular,657
2014-08-11,Regular,210
2014-08-12,Regular,302
2014-08-15,Regular,218
2014-08-16,Regular,505
2014-08-17,Regular,693
2014-08-18,Regular,245
2014-08-19,Regular,74
2014-08-20,Regular,343
2014-08-21,Regular,815
2014-08-25,Regular,282
2014-08-26,Regular,322
2014-08-27,Regular,199
2014-08-30,Regular,210
2014-08-31,Regular,484
2014-09-01,Regular,664
2014-09-02,Regular,239
2014-09-03,Regular,65
2014-09-04,Regular,387
2014-09-05,Regular,719
2014-09-09,Regular,211
2014-09-10,Regular,309
2014-09-13,Regular,236
2014-09-14,Regular,543
2014-09-15,Regular,745
2014-09-16,Regular,266
2014-09-17,Regular,70
2014-09-18,Regular,326
2014-09-19,Regular,700
2014-09-22,Regular,224
2014-09-23,Regular,322
2014-09-29,Regular,302
2014-09-30,Regular,367
2014-10-01,Regular,187
2014-10-02,Regular,598
2014-10-03,Regular,322
2014-10-07,Regular,205
2014-10-08,Regular,218
2014-10-09,Regular,205
2014-10-12,Regular,177
2014-10-13,Regular,230
2014-10-14,Regular,99
2014-10-15,Regular,174
2014-10-19,Regular,478
2014-10-20,Regular,567
2014-10-21,Regular,56
2014-10-26,Regular,290
2014-10-27,Regular,412
2014-10-28,Regular,123
2014-10-29,Regular,532
2014-10-30,Regular,363
2014-11-03,Regular,197
2014-11-04,Regular,189
2014-11-05,Regular,245
2014-11-06,Regular,200
2014-11-09,Regular,39
2014-11-10,Regular,184
2014-11-11,Regular,224
2014-11-12,Regular,132
2014-11-13,Regular,164
2014-11-16,Regular,423
2014-11-17,Regular,545
2014-11-22,Regular,302
2014-11-23,Regular,534
2014-11-24,Regular,133
2014-11-25,Regular,576
2014-11-26,Regular,306
2014-11-30,Regular,221
2014-12-01,Regular,320
2014-12-02,Regular,185
2014-12-05,Regular,153
2014-12-06,Regular,250
2014-12-07,Regular,123
2014-12-08,Regular,176
2014-12-11,Regular,501
2014-12-12,Regular,654
2014-12-13,Regular,45
2014-12-19,Regular,322
2014-12-20,Regular,391
2014-12-21,Regular,199
2014-12-22,Regular,637
2014-12-23,Regular,343
2014-12-27,Regular,218
2014-12-28,Regular,232
2014-12-29,Regular,218
2015-01-01,Regular,189
2015-01-02,Regular,245
2015-01-03,Regular,106
2015-01-04,Regular,185
2015-01-08,Regular,509
2015-01-09,Regular,604
2015-01-10,Regular,60
2015-01-15,Regular,309
2015-01-16,Regular,439
2015-01-17,Regular,131
2015-01-18,Regular,567
2015-01-19,Regular,387
2015-01-23,Regular,210
2015-01-24,Regular,201
2015-01-25,Regular,261
2015-01-26,Regular,213
2015-01-29,Regular,42
2015-01-30,Regular,196
2015-01-31,Regular,239
2015-02-01,Regular,141
2015-02-02,Regular,175
2015-02-05,Regular,451
2015-02-06,Regular,581
2015-02-11,Regular,322
2015-02-12,Regular,569
2015-02-13,Regular,142
2015-02-14,Regular,614
2015-02-15,Regular,326
2015-02-19,Regular,236
2015-02-20,Regular,341
2015-02-21,Regular,197
2015-02-24,Regular,163
2015-02-25,Regular,266
2015-02-26,Regular,131
2015-02-27,Regular,188
2015-03-02,Regular,534
2015-03-03,Regular,697
2015-03-04,Regular,48
2015-03-07,Regular,109
2015-03-08,Regular,650
2015-03-09,Regular,478
2015-03-10,Regular,298
2015-03-13,Regular,302
2015-03-19,Regular,122
2015-03-20,Regular,142
2015-03-21,Regular,144
2015-03-22,Regular,111
2015-03-23,Regular,167
2015-03-24,Regular,51
2015-03-25,Regular,52
2015-03-26,Regular,236
2015-04-02,Regular,598
2015-04-03,Regular,53
2015-04-04,Regular,478
2015-04-05,Regular,21
2015-04-06,Regular,56
2015-04-09,Regular,116
2015-04-10,Regular,623
2015-04-11,Regular,423
2015-04-12,Regular,289
2015-04-15,Regular,290
2015-04-19,Regular,150
2015-04-20,Regular,128
2015-04-21,Regular,156
2015-04-22,Regular,39
2015-04-23,Regular,231
2015-04-29,Regular,532
2015-04-30,Regular,423
2015-05-01,Regular,197
2015-05-02,Regular,32
2015-05-03,Regular,245
2015-05-06,Regular,102
2015-05-07,Regular,699
2015-05-08,Regular,501
2015-05-09,Regular,322
2015-05-12,Regular,302
2015-05-17,Regular,139
2015-05-18,Regular,176
2015-05-19,Regular,41
2015-05-20,Regular,214
2015-05-26,Regular,576
2015-05-27,Regular,501
2015-05-28,Regular,221
2015-05-29,Regular,31
2015-05-30,Regular,320
2015-05-31,Regular,45
2015-06-03,Regular,116
2015-06-04,Regular,693
2015-06-05,Regular,509
2015-06-06,Regular,318
2015-06-09,Regular,322
2015-06-15,Regular,130
2015-06-16,Regular,151
2015-06-17,Regular,153
2015-06-18,Regular,118
2015-06-19,Regular,178
2015-06-20,Regular,54
2015-06-21,Regular,55
2015-06-22,Regular,251
2015-06-29,Regular,637
2015-06-30,Regular,56
2015-07-01,Regular,509
2015-07-02,Regular,22
2015-07-03,Regular,60
2015-07-06,Regular,124
2015-07-07,Regular,664
2015-07-08,Regular,451
2015-07-09,Regular,308
2015-07-12,Regular,309
2015-07-16,Regular,160
2015-07-17,Regular,136
2015-07-18,Regular,166
2015-07-19,Regular,42
2015-07-20,Regular,246
2015-07-26,Regular,567
2015-07-27,Regular,451
2015-07-28,Regular,210
2015-07-29,Regular,34
2015-07-30,Regular,261
2015-08-02,Regular,109
2015-08-03,Regular,745
2015-08-04,Regular,534
2015-08-05,Regular,343
2015-08-08,Regular,322
2015-08-13,Regular,148
2015-08-14,Regular,188
2015-08-15,Regular,44
2015-08-16,Regular,228
2015-08-22,Regular,614
2015-08-23,Regular,534
2015-08-24,Regular,236
2015-08-25,Regular,33
2015-08-26,Regular,341
2015-08-27,Regular,48
